ts	sha	label	build	warnings	errors	test	passed	failed	format	prose
2026-08-21T23:18:58Z	2fbcb5b	seed: full gate post 2fbcb5b	ok	0	0	ok	1621	0	ok	n/a
2026-08-23T02:26:10Z	3671786	manual	ok	0	0	ok	1634	0	ok	n/a
2026-08-23T12:14:22Z	8f242bb	manual	ok	0	0	ok	1634	0	ok	n/a
2026-08-23T18:11:44Z	9cd5ef6	manual	ok	0	0	ok	1665	0	ok	n/a
2026-08-23T18:24:02Z	b3be6d0	manual	ok	0	0	ok	1665	0	ok	n/a
2026-08-23T19:53:29Z	b3be6d0	manual	ok	0	0	ok	1670	0	ok	n/a
2026-08-23T21:27:09Z	24d30f8	arch pins + prose gate + gate guard	ok	0	0	ok	1678	0	ok	ok
2026-08-23T22:38:21Z	91b5199	agent hygiene scanners adoption	ok	0	0	ok	1678	0	ok	ok
2026-08-23T22:47:31Z	604603a	gate trail re-pin at 604603a (post-commit refresh)	ok	0	0	ok	1678	0	ok	ok
2026-08-24T00:27:34Z	604603a	sweep fixes: updater hardening (host pin, digest prefix, cmd integrity stamp), arch pin upgrade, using removals, gate-script fixes	ok	0	0	ok	1682	0	ok	ok
2026-08-24T00:29:39Z	72cbd5d	agnix frontmatter: docs/agents agent files gain YAML frontmatter	ok	0	0	ok	1682	0	ok	ok
2026-08-24T00:54:40Z	55f214f	manual	ok	0	0	ok	1682	0	ok	ok
2026-08-24T02:31:58Z	55f214f	Roslynator 5.0.0 bump and updater digest hardening: pre-commit gate	ok	0	0	ok	1685	0	ok	ok
2026-08-24T02:33:04Z	6c95fcd	Roslynator 5.0.0 bump and updater digest hardening: post-bump re-pin	ok	0	0	ok	1685	0	ok	ok
2026-08-24T05:44:55Z	4e1b9eb	manual	ok	0	0	ok	1697	0	ok	ok
2026-08-24T12:28:50Z	b73e89b	debt-guardrails: DebtGuardTests + RepoScan + docs	FAIL	0	1	SKIP	n/a	n/a	SKIP	SKIP
2026-08-24T12:31:20Z	b73e89b	debt-guardrails: DebtGuardTests + RepoScan + docs	ok	0	0	ok	1702	0	ok	ok
2026-08-24T12:36:57Z	b73e89b	debt-guardrails: DebtGuardTests + RepoScan + docs	ok	0	0	ok	1702	0	ok	ok
2026-08-24T19:19:33Z	b73e89b	debt-guardrails commit gate re-run	ok	0	0	ok	1702	0	ok	ok
2026-08-24T19:33:03Z	ebbdabf	manual	ok	0	0	FAIL	1704	1	SKIP	SKIP
2026-08-24T19:44:34Z	ebbdabf	adr-debt-register + friendly-app-name-table refactor + dead-helper pin keyword fix	ok	0	0	ok	1705	0	ok	ok
2026-08-24T19:47:24Z	ebbdabf	adr-debt-register + friendly-app-name-table refactor + dead-helper pin keyword fix (final, post member-order fix)	ok	0	0	ok	1705	0	ok	ok
2026-08-24T19:51:24Z	5b935bf	gate re-run after dead-helper pin fix commit	ok	0	0	ok	1705	0	ok	ok
2026-08-24T19:52:27Z	dea4135	gate re-run after friendly-app-name refactor commit	ok	0	0	ok	1705	0	ok	ok
2026-08-24T20:23:20Z	e80fd91	manual	ok	0	0	ok	1708	0	ok	ok
2026-08-24T20:32:32Z	47d90f9	manual	ok	0	0	ok	1718	0	ok	ok
2026-08-24T20:42:39Z	d18180e	manual	ok	0	0	ok	1725	0	ok	ok
2026-08-24T20:56:03Z	e820601	manual	ok	0	0	ok	1731	0	ok	ok
2026-08-24T21:00:26Z	94d4ed1	manual	ok	0	0	ok	1732	0	ok	ok
2026-08-24T21:05:13Z	a70a3ab	manual	ok	0	0	ok	1732	0	ok	ok
2026-08-24T21:14:09Z	33723fb	manual	ok	0	0	ok	1736	0	ok	ok
2026-08-24T21:21:28Z	6408117	manual	ok	0	0	ok	1736	0	ok	ok
2026-08-24T21:35:34Z	db1fd52	manual	ok	0	0	ok	1736	0	ok	ok
2026-08-24T21:50:00Z	ad09caf	manual	ok	0	0	ok	1736	0	ok	ok
2026-08-25T00:25:37Z	01ee2a7	baseline re-run at 01ee2a7 before the architecture deepening wave	ok	0	0	ok	1736	0	ok	ok
2026-08-25T00:55:08Z	52df4de	C1: extract Twitch chat connection into a module	ok	0	0	ok	1743	0	ok	ok
2026-08-25T01:15:01Z	89a38ef	C2: REST cycle reads the live subscription set each cycle	ok	0	0	ok	1745	0	ok	ok
2026-08-25T01:38:53Z	75951d0	C3: media session neutral seam + monitor-owned tap policy	ok	0	0	ok	1753	0	ok	ok
2026-08-25T01:54:55Z	77be19c	C4: audio capture lifecycle module out of the visualizer	ok	0	0	ok	1759	0	ok	ok
2026-08-25T02:05:46Z	e4bf78f	C5: icon picker + device auth decision models out of the dialog chrome	ok	0	0	ok	1777	0	ok	ok
2026-08-25T02:07:40Z	e4bf78f	C5: icon picker + device auth decision models out of the dialog chrome	ok	0	0	ok	1777	0	ok	ok
2026-08-25T02:16:19Z	184f59f	C6: theme dialog pure draft module	ok	0	0	ok	1781	0	ok	ok
2026-08-25T02:41:46Z	102fd5f	C7: one property commit owner, retire the inspector funnel twin	ok	0	0	ok	1785	0	ok	FAIL(1)
2026-08-25T02:44:41Z	102fd5f	C7: one property commit owner, retire the inspector funnel twin	ok	0	0	ok	1785	0	ok	ok
2026-08-25T03:03:20Z	64ce8bf	C8: one price-map merge owner + complete kind table	ok	0	0	ok	1796	0	ok	ok
2026-08-25T04:00:03Z	ed85411	skills.sh pass: mattpocock re-verify 6654f6b, intake filter, dated rejections	ok	0	0	ok	1796	0	ok	ok
2026-08-25T04:02:54Z	6b8907f	skills.sh pass (gate trail re-anchor post-commit)	ok	0	0	ok	1796	0	ok	ok
2026-08-25T04:09:05Z	8e4471a	full-project sweep post-C-series	ok	0	0	ok	1796	0	ok	ok
2026-08-25T11:54:57Z	8e4471a	fix smtc status name mapping + pin	ok	0	0	ok	1802	0	ok	ok
2026-08-25T11:59:23Z	f79fca7	fix boot profile load boundary contract	ok	0	0	ok	1803	0	ok	ok
2026-08-25T12:05:14Z	7524acb	fix half-opened wasapi capture leak	ok	0	0	ok	1803	0	ok	ok
2026-08-25T12:12:37Z	a4e501e	fix property miss sentinel once-logged	ok	0	0	ok	1804	0	ok	ok
2026-08-25T12:20:14Z	c1a855c	fix feed subscription atomicity	ok	0	0	ok	1805	0	ok	ok
2026-08-25T12:23:57Z	ed88b4d	fix media session refresh version atomicity	ok	0	0	ok	1805	0	ok	ok
2026-08-25T12:32:06Z	b93a47d	fix winrt media session adapter disposal	ok	0	0	ok	1807	0	ok	ok
2026-08-25T12:37:33Z	0b9d70b	fix artwork pixel footprint cap	ok	0	0	ok	1808	0	ok	ok
2026-08-25T12:41:16Z	08849f0	fix svg icon malformed guard	ok	0	0	ok	1809	0	ok	ok
2026-08-25T12:50:08Z	4e1ea46	fix twitch chat restart order	ok	0	0	ok	1809	0	ok	ok
2026-08-25T12:55:29Z	86bc61d	re-record after message amend	ok	0	0	ok	1810	0	ok	ok
2026-08-25T12:56:40Z	3c66dda	fix device auth model null guards	ok	0	0	ok	1810	0	ok	ok
2026-08-25T12:57:33Z	0c57a16	re-record after amend	ok	0	0	FAIL	1809	1	SKIP	SKIP
2026-08-25T13:00:02Z	0c57a16	re-record after amend	ok	0	0	ok	1810	0	ok	ok
2026-08-25T13:01:52Z	5ba0aa0	re-record after amend	ok	0	0	ok	1810	0	ok	ok
2026-08-25T13:06:48Z	8c1fb94	refactor trusted uri composite gate	ok	0	0	ok	1810	0	ok	ok
2026-08-25T13:13:39Z	bf100e4	chore dead code sweep	ok	0	0	ok	1810	0	ok	ok
2026-08-25T13:15:49Z	e445f87	docs sweep report resolution	ok	0	0	ok	1810	0	ok	ok
2026-08-25T13:37:19Z	3e69fbf	fix cycle session fresh wrapper leak	ok	0	0	FAIL	1810	1	SKIP	SKIP
2026-08-25T13:39:04Z	3e69fbf	fix cycle session fresh wrapper leak	ok	0	0	ok	1811	0	ok	ok
2026-08-25T13:40:51Z	3e69fbf	fix cycle session fresh wrapper leak	ok	0	0	ok	1811	0	ok	ok
2026-08-25T15:52:31Z	fe17bf5	flake-fix-ensureapp-orphan-window	ok	0	0	ok	1812	0	ok	ok
2026-08-25T15:56:36Z	f89b907	sweep-report-flake-hunt-note	ok	0	0	ok	1812	0	ok	ok
2026-08-25T16:26:06Z	8cf016c	twitch-open-browser-seam	ok	0	0	ok	1813	0	ok	ok
